,"('requests', 'ADF')","('Temperature', 'ADF')","('Precipitation', 'ADF')","('WindSpeed', 'ADF')"
Test Statistic,-4.824976371748955,-3.409897379736453,-9.338872652689416,-7.526967716015311
p-value,4.8708185230944984e-05,0.010626062504505172,8.908239055674646e-16,3.663008600373578e-11
Lags Used,28.0,28.0,28.0,27.0
Number of Observations Used,2876.0,2876.0,2876.0,2877.0
Critical Value (1%),-3.4326257810090195,-3.4326257810090195,-3.4326257810090195,-3.43262498927583
Critical Value (5%),-2.862545485752566,-2.862545485752566,-2.862545485752566,-2.8625451360824843
Critical Value (10%),-2.567305249201584,-2.567305249201584,-2.567305249201584,-2.5673050630393703
H0 Rejected,1.0,1.0,1.0,1.0
